"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R26,R68,R75,R22,R102,R63,R103,R10,R19,R15,R52,R38,R18,R88,R13,R51,R27,R70,R50,R67,R12,R35,R56,R54,R62,R40,R43,R24,R29,R59,R65,R87,R41,R82,R11,R60,R53,R73,R47,R34,R95,R46,R76,R42";"R_0805_2012Metric";44;"100K";;;
2;"R78,R37,R45,R96";"R_0805_2012Metric";4;"49K9";;;
3;"ATV_COMP2,CRSFD2,ATV_COMP1,LED1+1,LED2+1,LED2-1,LED1-1,CRSFD1";"BOURNS_3362P_TRIMMER";8;"100K";;;
4;"R58,R61,R16,R23,R25,R55,R66,R17,R20,R64,R14,R57";"R_0805_2012Metric";12;"200K";;;
5;"IC3,IC2,IC4,IC1";"SOIC-16_3.9x9.9mm_P1.27mm";4;"DG212BDY";;;
6;"J10,J14";"THONKICONN";2;"OUTPUT";;;
7;"J7,J11";"THONKICONN";2;"CROSSFADE_CV";;;
8;"R72,R69,R28,R71,R30,R33,R74,R31";"R_0805_2012Metric";8;"220R";;;
9;"C1,C4,C3,C2";"CAPAE430X610N";4;"22µ";;;
10;"C31,C30,C15,C28,C32,C11,C13,C14";"C_0805_2012Metric";8;"1200p";;;
11;"OFFSET2,OFFSET1,ATNVRT2,ATNVRT1,CROSSFADE2,CROSSFADE1";"MusicThingModular-9MM_SNAP-IN_POT";6;"B10K";;;
12;"D6,D3,D4,D5";"LED_D3.0mm";4;"LED";;;
13;"MH8,MH7,MH4,MH2,MH5,MH3,MH6,MH1";"MountingHole_3.2mm_M3";8;"MountingHole_3.2mm_M3";;;
14;"R7,R8,R5,R6,R89,R104";"R_0805_2012Metric";6;"10K";;;
15;"R21,R90,R48,R49,R44,R85";"R_0805_2012Metric";6;"1K";;;
16;"J1,J2";"THONKICONN";2;"ATNVRT_IN_BOTTOM";;;
17;"R106,R105,R109,R108";"R_0805_2012Metric";4;"4K7";;;
18;"J17";"SHDR10W64P254_2X5_2030X878X930P";1;"30310-6002HB";;;
19;"U1,U9,U8,U11,U4,U5";"SOIC-14_3.9x8.7mm_P1.27mm";6;"OPA4134";;;
20;"D7,D8,D9,D10";"D_SOD-323_HandSoldering_ZENER";4;"Z-5V";;;
21;"R36,R39";"R_0805_2012Metric";2;"80K";;;
22;"Q3,Q1";"SOT-23-3";2;"3906";;;
23;"R32,R9";"R_0805_2012Metric";2;"10Meg";;;
24;"mouse-bite-2mm-slot_3,mouse-bite-2mm-slot_2,mouse-bite-2mm-slot_1";"mouse-bite-2mm-slot";3;"VAL**";;;
25;"U10,U6";"SOIC-16_3.9x9.9mm_P1.27mm";2;"SSI2164";;;
26;"Q4,Q2";"SOT-23-3";2;"3904";;;
27;"J9,J13";"THONKICONN";2;"CROSSFADE_B";;;
28;"D1,D2";"D_SOD-123";2;"1N5819";;;
29;"J12,J8";"THONKICONN";2;"CROSSFADE_A";;;
30;"S1,S2";"1082MS1T1B1M2QEEVX";2;"108-2MS1T1B1M2QE-EVX";;;
31;"U2";"SOT-89-3";1;"L78L05";;;
32;"C25,C62,C46,C68,C56,C36,C23,C52,C21,C55,C22,C35,C20,C61,C24,C6,C67,C37,C45,C38,C5,C18,C51,C19";"C_0805_2012Metric";24;"0.1µ";;;
33;"C8,C42,C66,C7,C43,C50,C63,C65,C64,C59,C17,C47,C48,C49,C58";"C_0805_2012Metric";15;"CS";;;
34;"R4,R2,R3,R1";"R_0805_2012Metric";4;"2K2";;;
35;"J5";"PinHeader_1x16_P2.54mm_Vertical";1;"Conn_01x16_Male";;;
36;"J6,J4";"PinHeader_1x10_P2.54mm_Vertical";2;"Conn_01x10_Female";;;
37;"R110,R107";"R_0805_2012Metric";2;"442K";;;
38;"J15,J16";"PinHeader_1x10_P2.54mm_Vertical";2;"Conn_01x10_Male";;;
39;"C27,C10,C29,C12";"C_0805_2012Metric";4;"100p";;;
40;"J3";"PinHeader_1x16_P2.54mm_Vertical";1;"Conn_01x16_Female";;;
41;"C54,C70";"C_0805_2012Metric";2;"33p";;;
